x;y;z;a;index
8.840;-4.209;-1.009;9.843;0.527
8.835;-4.171;-0.956;9.817;0.513
8.948;-4.032;-0.937;9.859;0.489
8.928;-3.848;-1.155;9.791;0.531
9.189;-3.481;-1.534;9.946;0.781
9.278;-2.998;-1.967;9.947;1.002
9.228;-2.277;-3.854;10.256;2.254
8.361;-2.655;-4.931;10.063;2.671
8.325;-2.275;-4.675;9.815;2.708
8.550;-1.829;-4.481;9.825;2.760
8.569;-1.786;-4.395;9.795;2.760
8.497;-1.851;-4.428;9.759;2.760
8.493;-1.923;-4.670;9.881;2.769
8.538;-2.016;-4.761;9.982;2.770
8.555;-2.176;-4.847;10.071;2.775
8.663;-2.258;-4.960;10.234;2.779
8.873;-2.275;-4.953;10.413;2.786
8.859;-2.160;-4.464;10.153;2.830
8.730;-2.160;-4.040;9.859;2.865
8.667;-2.260;-3.906;9.772;2.867
8.643;-2.287;-3.810;9.719;2.868
8.687;-2.301;-3.851;9.777;2.863
8.684;-2.330;-3.925;9.811;2.850
8.600;-2.320;-3.954;9.746;2.790
8.620;-2.380;-3.980;9.788;2.713
8.569;-2.411;-4.093;9.798;1.815
8.672;-2.449;-4.177;9.932;1.122
8.751;-2.526;-4.318;10.080;1.039
8.756;-2.593;-4.251;10.073;0.895
8.720;-2.777;-4.268;10.098;0.910
8.694;-2.823;-4.387;10.139;0.913
8.646;-2.801;-4.522;10.151;0.889
8.426;-2.715;-4.457;9.911;0.912
8.414;-2.725;-4.435;9.894;0.894
8.404;-2.878;-4.567;9.988;0.900
8.507;-2.981;-4.534;10.090;0.887
8.548;-3.060;-4.502;10.134;0.738
8.500;-3.115;-4.407;10.068;0.602
8.306;-3.263;-4.330;9.919;0.629
8.318;-3.405;-4.256;9.944;0.641
8.663;-3.503;-3.961;10.149;0.789
9.029;-3.788;-4.019;10.584;0.914
9.371;-3.907;-3.909;10.880;0.985
9.247;-4.020;-3.729;10.750;1.013
9.288;-3.960;-3.650;10.736;1.011
9.024;-3.833;-3.193;10.311;1.139
9.192;-3.656;-2.709;10.256;1.248
9.115;-3.759;-3.147;10.350;1.326
8.962;-3.694;-3.193;10.206;1.324
8.550;-3.548;-2.982;9.726;1.404
8.268;-3.429;-2.733;9.358;1.451
8.397;-3.474;-3.044;9.584;1.470
8.639;-3.608;-3.435;9.972;1.546
8.373;-3.807;-3.518;9.848;1.570
8.394;-3.735;-3.492;9.829;1.565
8.430;-3.745;-3.681;9.932;1.574
8.500;-3.757;-3.614;9.971;1.572
8.481;-3.738;-3.432;9.883;1.562
8.435;-3.635;-3.356;9.779;1.560
8.418;-3.582;-3.207;9.695;1.498
8.380;-3.541;-3.097;9.610;1.428
8.464;-3.623;-3.176;9.739;1.384
8.543;-3.694;-3.152;9.827;1.367
8.612;-3.771;-3.176;9.924;1.367
8.713;-3.931;-3.336;10.124;1.279
8.689;-4.049;-3.430;10.181;1.168
8.591;-4.113;-3.432;10.124;1.082
8.557;-4.212;-3.437;10.138;1.073
8.672;-4.394;-3.523;10.340;0.985
8.768;-4.583;-3.583;10.522;0.928
8.725;-4.731;-3.573;10.549;0.878
8.533;-4.793;-3.478;10.387;0.769
8.117;-4.678;-3.224;9.908;0.852
7.624;-4.461;-2.932;9.306;1.046
7.231;-4.597;-2.996;9.077;1.111
7.123;-4.832;-2.707;9.023;1.173
7.171;-5.339;-2.570;9.303;1.273
7.145;-6.012;-1.622;9.477;1.719
7.193;-7.341;2.577;10.595;4.726
10.456;-9.338;5.427;15.032;6.714
10.798;-7.207;1.313;13.049;8.163
9.328;-5.375;0.571;10.781;8.526
8.615;-4.789;-0.083;9.857;8.600
8.622;-5.356;-0.437;10.159;8.622
8.830;-4.834;-0.423;10.076;8.639
8.579;-4.207;-0.810;9.589;8.673
8.426;-3.850;-0.741;9.293;8.682
8.495;-3.766;-0.679;9.317;8.680
8.567;-3.864;-0.590;9.417;8.678
8.423;-4.267;-1.783;9.609;8.769
8.485;-4.439;-2.391;9.870;8.789
8.435;-4.753;-2.929;10.115;8.797
7.928;-5.047;-3.372;9.985;8.806
7.633;-5.069;-3.566;9.832;8.803
7.533;-5.136;-3.885;9.910;8.801
7.738;-5.232;-4.071;10.190;8.790
7.798;-5.229;-4.040;10.222;8.713
7.849;-5.255;-3.827;10.192;7.521
7.760;-5.047;-3.427;9.871;5.833
7.856;-4.870;-3.042;9.731;3.554
8.007;-4.753;-2.846;9.736;2.577
8.145;-4.530;-2.546;9.662;2.349
8.260;-4.401;-2.374;9.656;2.265
8.543;-4.370;-2.345;9.878;2.213
8.837;-4.338;-2.249;10.099;2.094
8.854;-4.161;-2.079;10.002;2.071
8.596;-3.864;-1.821;9.599;2.121
8.500;-3.649;-1.859;9.435;2.129
8.581;-3.625;-2.012;9.530;1.720
8.782;-3.661;-2.324;9.794;1.641
8.847;-3.773;-2.436;9.922;1.527
8.864;-3.855;-2.431;9.967;1.341
8.811;-3.919;-2.410;9.940;1.296
9.082;-4.116;-2.369;10.248;1.295
9.781;-4.599;-2.881;11.186;1.605
10.439;-5.289;-3.590;12.241;1.996
10.183;-5.646;-3.600;12.187;2.032
9.517;-5.500;-3.210;11.451;2.129
8.691;-5.179;-2.841;10.509;2.295
7.932;-4.803;-2.632;9.640;2.439
7.683;-4.568;-2.565;9.300;2.432
7.485;-4.212;-2.704;9.004;2.458
7.214;-3.833;-2.628;8.581;2.486
7.035;-3.766;-2.656;8.410;2.474
7.116;-3.797;-2.812;8.542;2.468
7.386;-4.152;-3.133;9.034;2.484
7.975;-4.616;-3.487;9.853;2.608
8.608;-5.018;-3.971;10.726;2.751
9.034;-5.121;-4.093;11.162;2.763
8.933;-5.033;-4.079;11.035;2.761
8.639;-4.765;-3.957;10.629;2.791
8.222;-4.417;-3.753;10.060;2.850
7.861;-4.202;-3.557;9.597;2.867
7.693;-4.006;-3.408;9.319;2.707
7.734;-3.860;-3.277;9.243;2.440
7.837;-3.766;-3.200;9.265;2.406
8.059;-3.718;-3.188;9.431;2.285
8.275;-3.704;-3.176;9.606;2.085
8.435;-3.625;-3.198;9.722;1.903
8.507;-3.591;-3.248;9.789;1.873
